"","plot","variable","value","date"
"316",4,"def",0.382426410913467,2015-04-01
"317",4,"def",-1.81358540058136,2015-05-01
"318",4,"def",0.135358467698097,2015-06-01
"319",4,"def",-3,2015-07-01
"320",4,"def",-0.545345723628998,2015-08-01
"321",4,"def",0.275908887386322,2015-09-01
"322",4,"def",-2.03437781333923,2015-10-01
"323",4,"def",-0.999671638011932,2015-11-01
"324",4,"def",-0.704755187034607,2015-12-01
"325",4,"def",-0.674490809440613,2016-01-01
"326",4,"def",-0.693879663944244,2016-02-01
"327",4,"def",0.07567498087883,2016-03-01
"328",4,"def",-0.789142429828644,2016-04-01
"329",4,"def",-0.286282807588577,2016-05-01
"330",4,"def",0.659258186817169,2016-06-01
"331",4,"def",1.3386744260788,2016-07-01
"332",4,"def",1.0357460975647,2016-08-01
"333",4,"def",-0.756965756416321,2016-09-01
"334",4,"def",-0.0334503464400768,2016-10-01
"335",4,"def",0.598151624202728,2016-11-01
"336",4,"def",-0.704755187034607,2016-12-01
"337",5,"def",2.63910222053528,2010-01-01
"338",5,"def",1.01020634174347,2010-02-01
"339",5,"def",0.421353399753571,2010-03-01
"340",5,"def",0.059354767203331,2010-04-01
"341",5,"def",-0.919302403926849,2010-05-01
"342",5,"def",0.156916067004204,2010-06-01
"343",5,"def",1.15511846542358,2010-07-01
"344",5,"def",0.0261567980051041,2010-08-01
"345",5,"def",0.300840497016907,2010-09-01
"346",5,"def",-1.01913070678711,2010-10-01
"347",5,"def",-0.088499128818512,2010-11-01
"348",5,"def",-0.617478311061859,2010-12-01
"349",5,"def",3,2011-01-01
"350",5,"def",0.256004899740219,2011-02-01
"351",5,"def",-0.629537999629974,2011-03-01
"352",5,"def",-1.5709832906723,2011-04-01
"353",5,"def",-1.19982862472534,2011-05-01
"354",5,"def",-0.357816398143768,2011-06-01
"355",5,"def",0.312796026468277,2011-07-01
"356",5,"def",0.632758498191833,2011-08-01
"357",5,"def",0.38163286447525,2011-09-01
"358",5,"def",-0.195850312709808,2011-10-01
"359",5,"def",0.386107861995697,2011-11-01
"360",5,"def",0.893902122974396,2011-12-01
"361",5,"def",3,2012-01-01
"362",5,"def",1.41328048706055,2012-02-01
"363",5,"def",0.504788875579834,2012-03-01
"364",5,"def",0.912184059619904,2012-04-01
"365",5,"def",1.28041398525238,2012-05-01
"366",5,"def",0.906581699848175,2012-06-01
"367",5,"def",0.722579479217529,2012-07-01
"368",5,"def",0.187851890921593,2012-08-01
"369",5,"def",1.0651308298111,2012-09-01
"370",5,"def",1.07898569107056,2012-10-01
"371",5,"def",1.70804452896118,2012-11-01
"372",5,"def",-0.708138883113861,2012-12-01
"373",5,"def",-0.674490690231323,2013-01-01
"374",5,"def",-0.767746388912201,2013-02-01
"375",5,"def",0.42174157500267,2013-03-01
"376",5,"def",0.732931435108185,2013-04-01
"377",5,"def",0.71011221408844,2013-05-01
"378",5,"def",0.863145112991333,2013-06-01
"379",5,"def",0.415010422468185,2013-07-01
"380",5,"def",-0.316759020090103,2013-08-01
"381",5,"def",-2.54329705238342,2013-09-01
"382",5,"def",-0.559506177902222,2013-10-01
"383",5,"def",0.136075407266617,2013-11-01
"384",5,"def",-0.708138942718506,2013-12-01
"385",5,"def",2.71497249603271,2014-01-01
"386",5,"def",-0.390392899513245,2014-02-01
"387",5,"def",0.446392953395844,2014-03-01
"388",5,"def",0.409051507711411,2014-04-01
"389",5,"def",0.572123050689697,2014-05-01
"390",5,"def",0.556924641132355,2014-06-01
"391",5,"def",-0.11052256077528,2014-07-01
"392",5,"def",-3,2014-08-01
"393",5,"def",-0.482499539852142,2014-09-01
"394",5,"def",1.04451632499695,2014-10-01
"395",5,"def",0.382749676704407,2014-11-01
"396",5,"def",-0.641285061836243,2014-12-01
"397",5,"def",3,2015-01-01
"398",5,"def",2.13815522193909,2015-02-01
"399",5,"def",1.60115683078766,2015-03-01
"400",5,"def",0.359237253665924,2015-04-01
"401",5,"def",-1.68074011802673,2015-05-01
"402",5,"def",4.83803923998494e-05,2015-06-01
"403",5,"def",-3,2015-07-01
