Site_number,Transect,Site.type,Bromus_TN_pct,Bromus_TC_pct,Bromus_CN,Other_TN_pct,Other_TC_pct,Other_CN,Poa_TN_pct,Poa_TC_pct,Poa_CN,Litter_TN_pct,Litter_TC_pct,Litter_CN,SOIL_SurSo4_kg_ha,SOIL_Ca_kg_ha,SOIL_Mg_kg_ha,SOIL_OM_pct,SOIL_TN_pct,SOIL_CN,Bare,Litter,Crypto,AIG,AIF,PNF,PNG,ANF,Shrubs,Rock,Year,ppt_2yrtot,ppt_2yr,ppt_1yr,tmax,tmin,vpdmx,shrub_b,soil_n_kg_ha,soil_c_kg_ha,inv,NO3_kg_ha,NH4_kg_ha,total_mineral_n
24,A,Cheatgrass-dominated,1.6,39.68,24.78,2.73,42.75,15.68,NA,NA,NA,0.86,32.37,37.73035,-0.29962080145862097,4431.622104948,1357.81342888,1.21,0.08,15.125,43.2,54.9,0,4.9,1.6,0.2,0,0.12,0,0.32,2013,221.080003172159,132.600001424551,139.120001912117,22.0599994659424,-13.9099998474121,23.2099990844727,Grass,1123.5718528,16994.0242736,0.8652963006479936,5.61363636363636,3.62079545454545,9.23443181818181
24,B,Cheatgrass-dominated,1.33,41.1,30.92,2.12,42.56,20.05,NA,NA,NA,0.8,30.59,38.20528,-0.4045454076415501,6003.096511328,1672.704354468,1.27,0.07,18.1428571428571,24.4,73.5,0,4.7,3.41,0.1,0,0.05,2.1,0.37,2013,221.080003172159,132.600001424551,139.120001912117,22.0599994659424,-13.9099998474121,23.2099990844727,Grass,983.1253712000002,17836.703163200003,1.5640405329833915,7.85909090909091,3.92617727272727,11.78526818181818
24,C,Cheatgrass-dominated,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,31.55,41.60108,-0.22480769468321996,5318.17163349,1495.99694457,1.37,0.08,17.125,34.7,64.1,0,3.5,1.16,0,0,0,0.6,0.15,2013,221.080003172159,132.600001424551,139.120001912117,22.0599994659424,-13.9099998474121,23.2099990844727,Grass,1123.5718528,19241.167979200003,1.0048785523376766,7.85909090909091,3.5815,11.440590909090911
25,A,Cheatgrass Dieoff,0.69,41.36,59.55,1.46,40.15,27.56,1.06,44.61,42.1483230987246,0.87,31.02,35.5911,-0.12950635119753956,5646.588234392,769.731092314,2.6,0.13,20,6.4,14.71,0,1.9,6.72,0,0.9,0,0,75.6,2013,311.779999732971,176.710001349449,178.579998493195,21.6800003051758,-12.7399997711182,22.6100006103516,Grass,1825.8042608000003,36516.08521600001,0.7328056084521197,7.85909090909091,4.62114545454545,12.48023636363636
25,B,Cheatgrass Dieoff,0.68,42.06,61.63,1.46,40.09,27.52,NA,NA,NA,0.85,34.43,40.35729,-0.13975046955267775,6021.71122962,743.525846662,2.74,0.13,21.0769230769231,3.2,56.4,0,2.5,7.61,0,1.3,0,0,36.3,2013,311.779999732971,176.710001349449,178.579998493195,21.6800003051758,-12.7399997711182,22.6100006103516,Grass,1825.8042608000003,38482.335958400006,1.6007723022187297,6.73636363636364,4.33709545454546,11.0734590909091
25,C,Cheatgrass Dieoff,0.74,41.07,55.86,1.05,39.6,37.64,NA,NA,NA,0.88,34.51,39.1511,-0.369467062970924,5802.320344548,758.972243211,2.98,0.14,21.2857142857143,2.7,56.8,0,2.4,7.31,0,1.6,0,0,36.21,2013,311.779999732971,176.710001349449,178.579998493195,21.6800003051758,-12.7399997711182,22.6100006103516,Grass,1966.2507424000005,41853.0515168,1.5507930002741706,6.73636363636364,4.58297272727273,11.31933636363637
26,A,Cheatgrass Dieoff,1.43,40.49,28.27,2.75,39.2,14.26,1.34,42.14,31.4823670053796,0.72,31.67,43.86808,-0.377538186523457,5877.539090096,1411.3190735,1.65,0.08,20.625,37.9,53.4,0,2.73,2.81,0,13.5,0.07,0,1.09,2013,303.699998497963,177.180001616478,175.419997215271,21.4599990844727,-12.8500003814697,22.3099994659424,Grass,1123.5718528,23173.669464000002,-0.8635266090825126,5.61363636363636,4.80190454545455,10.415540909090911
26,B,Cheatgrass Dieoff,1.44,39.98,27.83,2.46,42.46,17.26,1.42,41.5,29.1657295473714,0.72,37.34,51.56088,0.5863402223463416,5261.811646875,1200.4767,1.74,0.09,19.3333333333333,53.9,40.1,0,1.46,4.44,0,8.5,0.26,0,0.5,2013,303.699998497963,177.180001616478,175.419997215271,21.4599990844727,-12.8500003814697,22.3099994659424,Grass,1264.0183344,24437.6877984,-0.7696337066835687,12.35,11.4069090909091,23.756909090909097
26,C,Cheatgrass Dieoff,1.53,40.21,26.21,NA,NA,NA,1.21,42.55,35.1511647117132,0.69,37.96,55.23444,0.03160569202417518,4659.919192271,1053.24166038,1.75,0.1,17.5,36.1,60.4,0.13793103448275862,1.82,2.35,0,5.7,0.16,0,0.09,2013,303.699998497963,177.180001616478,175.419997215271,21.4599990844727,-12.8500003814697,22.3099994659424,Grass,1404.4648160000004,24578.134280000002,-0.048386803252179755,8.98181818181818,5.5081,14.48991818181818
27,A,Cheatgrass Dieoff,1.59,41,25.85,3.09,41.71,13.48,1.48,42.79,29.0048806941432,0.74,34.35,46.72525,-0.026754739817215156,3454.08199668,916.38910116,1.46,0.08,18.25,37,58.8,0.006896551724137932,3.9,3.52,3.3,0,0.1,0,0.55,2013,292.630001097918,162.559997975826,168.830004215241,21.4200000762939,-12.8800001144409,22.2099990844727,Grass,1123.5718528,20505.1863136,1.067704961541613,4.49090909090909,6.12672272727273,10.61763181818182
27,B,Cheatgrass Dieoff,1.27,41.33,32.54,2.6,41.91,16.14,1.35,42.29,31.2702402957486,0.69,38.18,55.0574,-0.32724887823459714,3946.1505824,1046.963076393,1.4,0.08,17.5,41,54.5,0,3.6,3.43,4.8,0,0.19,0,0.94,2013,292.630001097918,162.559997975826,168.830004215241,21.4200000762939,-12.8800001144409,22.2099990844727,Grass,1123.5718528,19662.507424,0.8975377591032074,4.49090909090909,8.86056363636364,13.35147272727273
27,C,Cheatgrass Dieoff,1.35,41.06,30.45,2.74,42.29,15.42,1.33,42.56,31.9879744456971,0.47,42.8,90.81804,-0.2962060953402417,4400.16594564,1150.52075388,1.49,0.09,16.5555555555556,36.7,59.6,0.06896551724137931,4,5,1.1,0,0.1,0,0.43,2013,292.630001097918,162.559997975826,168.830004215241,21.4200000762939,-12.8800001144409,22.2099990844727,Grass,1264.0183344,20926.5257584,1.103899490557747,3.36818181818182,5.05451818181818,8.422699999999999
