"","plot","date","variable","value","mean","sd","z","month","norm","anomaly","amean","asd","z_anom"
"3868","10",2014-06-01,"aet",5.15390348434448,20.7090106409235,15.0855625832308,-1.03112542676201,6,14.2625255584717,-9.10862207412722,-0.710295112784436,12.8997929955627,-0.651043544980268
"3869","11",2014-06-01,"aet",5.4398832321167,20.7090106409235,15.0855625832308,-1.0121682452718,6,17.7127342224121,-12.2728509902954,-0.710295112784436,12.8997929955627,-0.896336544430462
"3870","11",2014-06-01,"aet",5.4398832321167,20.7090106409235,15.0855625832308,-1.0121682452718,6,17.7127342224121,-12.2728509902954,-0.710295112784436,12.8997929955627,-0.896336544430462
"3871","12",2014-06-01,"aet",4.63476848602295,20.7090106409235,15.0855625832308,-1.06553813066068,6,14.5363512039185,-9.90158271789555,-0.710295112784436,12.8997929955627,-0.712514348739762
"3872","12",2014-06-01,"aet",4.63476848602295,20.7090106409235,15.0855625832308,-1.06553813066068,6,14.5363512039185,-9.90158271789555,-0.710295112784436,12.8997929955627,-0.712514348739762
"3873","13",2014-06-01,"aet",7.8343334197998,20.7090106409235,15.0855625832308,-0.853443625326587,6,22.3474349975586,-14.5131015777588,-0.710295112784436,12.8997929955627,-1.07000216745511
"3874","13",2014-06-01,"aet",7.8343334197998,20.7090106409235,15.0855625832308,-0.853443625326587,6,22.3474349975586,-14.5131015777588,-0.710295112784436,12.8997929955627,-1.07000216745511
"3875","14",2014-06-01,"aet",6.83520603179932,20.7090106409235,15.0855625832308,-0.919674326534318,6,16.3288230895996,-9.49361705780028,-0.710295112784436,12.8997929955627,-0.680888596277254
"3876","14",2014-06-01,"aet",6.83520603179932,20.7090106409235,15.0855625832308,-0.919674326534318,6,16.3288230895996,-9.49361705780028,-0.710295112784436,12.8997929955627,-0.680888596277254
"3877","16",2014-06-01,"aet",6.07735681533813,20.7090106409235,15.0855625832308,-0.969911048716864,6,17.9497394561768,-11.8723826408387,-0.710295112784436,12.8997929955627,-0.86529198816553
"3878","16",2014-06-01,"aet",6.07735681533813,20.7090106409235,15.0855625832308,-0.969911048716864,6,17.9497394561768,-11.8723826408387,-0.710295112784436,12.8997929955627,-0.86529198816553
"3879","18",2014-06-01,"aet",7.8343334197998,20.7090106409235,15.0855625832308,-0.853443625326587,6,22.3474349975586,-14.5131015777588,-0.710295112784436,12.8997929955627,-1.07000216745511
"3880","18",2014-06-01,"aet",7.8343334197998,20.7090106409235,15.0855625832308,-0.853443625326587,6,22.3474349975586,-14.5131015777588,-0.710295112784436,12.8997929955627,-1.07000216745511
"3881","19",2014-06-01,"aet",6.89425373077393,20.7090106409235,15.0855625832308,-0.915760140460791,6,16.5606861114502,-9.66643238067627,-0.710295112784436,12.8997929955627,-0.694285347910046
"3882","19",2014-06-01,"aet",6.89425373077393,20.7090106409235,15.0855625832308,-0.915760140460791,6,16.5606861114502,-9.66643238067627,-0.710295112784436,12.8997929955627,-0.694285347910046
"3883","20",2014-06-01,"aet",6.89425373077393,20.7090106409235,15.0855625832308,-0.915760140460791,6,16.5606861114502,-9.66643238067627,-0.710295112784436,12.8997929955627,-0.694285347910046
"3884","20",2014-06-01,"aet",6.89425373077393,20.7090106409235,15.0855625832308,-0.915760140460791,6,16.5606861114502,-9.66643238067627,-0.710295112784436,12.8997929955627,-0.694285347910046
"3885","21",2014-06-01,"aet",7.24887084960938,20.7090106409235,15.0855625832308,-0.892253087483552,6,17.1297760009766,-9.88090515136722,-0.710295112784436,12.8997929955627,-0.710911410883671
"3886","21",2014-06-01,"aet",7.24887084960938,20.7090106409235,15.0855625832308,-0.892253087483552,6,17.1297760009766,-9.88090515136722,-0.710295112784436,12.8997929955627,-0.710911410883671
"3887","22",2014-06-01,"aet",6.10272312164307,20.7090106409235,15.0855625832308,-0.968229553170047,6,17.8093204498291,-11.706597328186,-0.710295112784436,12.8997929955627,-0.852440207310623
"3888","22",2014-06-01,"aet",6.10272312164307,20.7090106409235,15.0855625832308,-0.968229553170047,6,17.8093204498291,-11.706597328186,-0.710295112784436,12.8997929955627,-0.852440207310623
"3889","23",2014-06-01,"aet",5.00160932540894,20.7090106409235,15.0855625832308,-1.04122078502892,6,20.7976150512695,-15.7960057258606,-0.710295112784436,12.8997929955627,-1.16945369730083
"3890","23",2014-06-01,"aet",5.00160932540894,20.7090106409235,15.0855625832308,-1.04122078502892,6,20.7976150512695,-15.7960057258606,-0.710295112784436,12.8997929955627,-1.16945369730083
"3891","24",2014-06-01,"aet",5.87257242202759,20.7090106409235,15.0855625832308,-0.983485908267557,6,14.8200435638428,-8.94747114181521,-0.710295112784436,12.8997929955627,-0.638551024180327
"3892","24",2014-06-01,"aet",5.87257242202759,20.7090106409235,15.0855625832308,-0.983485908267557,6,14.8200435638428,-8.94747114181521,-0.710295112784436,12.8997929955627,-0.638551024180327
"3893","25",2014-06-01,"aet",6.07735681533813,20.7090106409235,15.0855625832308,-0.969911048716864,6,17.9497394561768,-11.8723826408387,-0.710295112784436,12.8997929955627,-0.86529198816553
"3894","25",2014-06-01,"aet",6.07735681533813,20.7090106409235,15.0855625832308,-0.969911048716864,6,17.9497394561768,-11.8723826408387,-0.710295112784436,12.8997929955627,-0.86529198816553
"3895","26",2014-06-01,"aet",6.21991395950317,20.7090106409235,15.0855625832308,-0.960461142995516,6,19.3510971069336,-13.1311831474304,-0.710295112784436,12.8997929955627,-0.962874988685365
"3896","26",2014-06-01,"aet",6.21991395950317,20.7090106409235,15.0855625832308,-0.960461142995516,6,19.3510971069336,-13.1311831474304,-0.710295112784436,12.8997929955627,-0.962874988685365
"3897","27",2014-06-01,"aet",4.44909000396729,20.7090106409235,15.0855625832308,-1.07784648714598,6,15.5490312576294,-11.0999412536621,-0.710295112784436,12.8997929955627,-0.80541184997709
"3898","27",2014-06-01,"aet",4.44909000396729,20.7090106409235,15.0855625832308,-1.07784648714598,6,15.5490312576294,-11.0999412536621,-0.710295112784436,12.8997929955627,-0.80541184997709
"3899","28",2014-06-01,"aet",4.63709163665771,20.7090106409235,15.0855625832308,-1.06538413238439,6,17.4663543701172,-12.8292627334595,-0.710295112784436,12.8997929955627,-0.939469929854204
"3900","28",2014-06-01,"aet",4.63709163665771,20.7090106409235,15.0855625832308,-1.06538413238439,6,17.4663543701172,-12.8292627334595,-0.710295112784436,12.8997929955627,-0.939469929854204
"3901","1",2014-07-01,"aet",14.8717432022095,20.7090106409235,15.0855625832308,-0.386943967552307,7,9.69731140136719,5.17443180084231,-0.710295112784436,12.8997929955627,0.456187701279469
"3902","1",2014-07-01,"aet",14.8717432022095,20.7090106409235,15.0855625832308,-0.386943967552307,7,9.69731140136719,5.17443180084231,-0.710295112784436,12.8997929955627,0.456187701279469
"3903","2",2014-07-01,"aet",12.2596807479858,20.7090106409235,15.0855625832308,-0.560093788105053,7,12.241870880127,0.0178098678588015,-0.710295112784436,12.8997929955627,0.056443152296606
"3904","2",2014-07-01,"aet",12.2596807479858,20.7090106409235,15.0855625832308,-0.560093788105053,7,12.241870880127,0.0178098678588015,-0.710295112784436,12.8997929955627,0.056443152296606
"3905","3",2014-07-01,"aet",14.325138092041,20.7090106409235,15.0855625832308,-0.423177625206949,7,11.7225475311279,2.6025905609131,-0.710295112784436,12.8997929955627,0.256816964027028
