"","plot","date","variable","value"
"4437",13,201409,"tmin",10.2799997329712
"4438",13,201410,"tmin",5.13000011444092
"4439",13,201411,"tmin",-1.27999997138977
"4440",13,201412,"tmin",-2.15000009536743
"4441",13,201501,"tmin",-3.27999997138977
"4442",13,201502,"tmin",-0.790000021457672
"4443",13,201503,"tmin",-0.0299999993294477
"4444",13,201504,"tmin",-0.189999997615814
"4445",13,201505,"tmin",6.15999984741211
"4446",13,201506,"tmin",12.3800001144409
"4447",13,201507,"tmin",13.4099998474121
"4448",13,201508,"tmin",13.6800003051758
"4449",13,201509,"tmin",9.14999961853027
"4450",13,201510,"tmin",6.92000007629395
"4451",13,201511,"tmin",-2.6800000667572
"4452",13,201512,"tmin",-4.71999979019165
"4453",13,201601,"tmin",-5.51000022888184
"4454",13,201602,"tmin",-2.08999991416931
"4455",13,201603,"tmin",-0.129999995231628
"4456",13,201604,"tmin",2.6800000667572
"4457",13,201605,"tmin",4.87900018692017
"4458",13,201606,"tmin",9.54899978637695
"4459",13,201607,"tmin",13.2399997711182
"4460",13,201608,"tmin",13.2159996032715
"4461",13,201609,"tmin",7.48299980163574
"4462",13,201610,"tmin",4.2519998550415
"4463",13,201611,"tmin",-0.00400000018998981
"4464",13,201612,"tmin",-8.45100021362305
"4465",14,201101,"tmin",-7.92999982833862
"4466",14,201102,"tmin",-6.19999980926514
"4467",14,201103,"tmin",-1.98000001907349
"4468",14,201104,"tmin",-1.21000003814697
"4469",14,201105,"tmin",1.48000001907349
"4470",14,201106,"tmin",5.76000022888184
"4471",14,201107,"tmin",10.5200004577637
"4472",14,201108,"tmin",10.4899997711182
"4473",14,201109,"tmin",7.01000022888184
"4474",14,201110,"tmin",1.12999999523163
"4475",14,201111,"tmin",-5.71999979019165
"4476",14,201112,"tmin",-9.93000030517578
"4477",14,201201,"tmin",-7.78000020980835
"4478",14,201202,"tmin",-6.71000003814697
"4479",14,201203,"tmin",-2.26999998092651
"4480",14,201204,"tmin",0.519999980926514
"4481",14,201205,"tmin",3.14000010490417
"4482",14,201206,"tmin",6.59000015258789
"4483",14,201207,"tmin",12.5200004577637
"4484",14,201208,"tmin",11.539999961853
"4485",14,201209,"tmin",6.67000007629395
"4486",14,201210,"tmin",0.740000009536743
"4487",14,201211,"tmin",-2.35999989509583
"4488",14,201212,"tmin",-5.17000007629395
"4489",14,201301,"tmin",-13.9099998474121
"4490",14,201302,"tmin",-5.09999990463257
"4491",14,201303,"tmin",-2.78999996185303
"4492",14,201304,"tmin",-0.140000000596046
"4493",14,201305,"tmin",3.75
"4494",14,201306,"tmin",7.92999982833862
"4495",14,201307,"tmin",13.8699998855591
"4496",14,201308,"tmin",11.460000038147
"4497",14,201309,"tmin",7.80999994277954
"4498",14,201310,"tmin",-1.61000001430511
"4499",14,201311,"tmin",-3.51999998092651
"4500",14,201312,"tmin",-11.8900003433228
"4501",14,201401,"tmin",-6.69000005722046
"4502",14,201402,"tmin",-2.83999991416931
"4503",14,201403,"tmin",-2.25999999046326
"4504",14,201404,"tmin",0.340000003576279
"4505",14,201405,"tmin",3.65000009536743
"4506",14,201406,"tmin",8.3100004196167
"4507",14,201407,"tmin",14.3999996185303
"4508",14,201408,"tmin",11.710000038147
"4509",14,201409,"tmin",8.40999984741211
"4510",14,201410,"tmin",2.52999997138977
"4511",14,201411,"tmin",-3.01999998092651
"4512",14,201412,"tmin",-3.08999991416931
"4513",14,201501,"tmin",-5.46000003814697
"4514",14,201502,"tmin",-2.33999991416931
"4515",14,201503,"tmin",-1.22000002861023
"4516",14,201504,"tmin",-1.27999997138977
"4517",14,201505,"tmin",5.3899998664856
"4518",14,201506,"tmin",11.1599998474121
"4519",14,201507,"tmin",12.6899995803833
"4520",14,201508,"tmin",11.3900003433228
"4521",14,201509,"tmin",6.28000020980835
"4522",14,201510,"tmin",4.44000005722046
"4523",14,201511,"tmin",-4.34000015258789
"4524",14,201512,"tmin",-6.59999990463257
"4525",14,201601,"tmin",-8.39999961853027
"4526",14,201602,"tmin",-3.95000004768372
"4527",14,201603,"tmin",-1.03999996185303
